,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
65,IE00005YSIA4,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),JREI,Active ETF,"0,25%",Distributing,EUR,"Equity,Japan,Social/Environmental"
66,IE000CN8T855,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc)),JUHE,Active ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
67,IE00004PGEY9,JPM Eurozone Research Enhanced Index Equity (ESG) UCITS ETF - EUR (acc),JREZ,Active ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
68,IE000783LRG9,JPM Eurozone Research Enhanced Index Equity (ESG) UCITS ETF - EUR (dist),JRZD,Active ETF,"0,25%",Distributing,EUR,"Equity,Europe,Social/Environmental"
69,IE000QGWZZO0,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc),JJEH,Active ETF,"0,25%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
70,IE000O8S1EX4,JPM Climate Change Solutions UCITS ETF - USD (acc),T3MP,Active ETF,"0,55%",Accumulating,EUR,
71,IE000PA766T7,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF,ECMS,Active ETF,"0,15%",Accumulating,EUR,
72,IE0006LBEDV2,Invesco EUR Corporate Bond ESG Multi-Factor UCITS ETF,ECMF,Active ETF,"0,19%",Distributing,EUR,
73,IE00021E4FE3,Invesco EUR Corporate Bond ESG Multi-Factor UCITS ETF,ECMA,Active ETF,"0,19%",Accumulating,EUR,
74,IE000N42HDP2,Invesco Quantitative Strategies Global Equity Low Volatility Low Carbon UCITS ETF acc,LVLC,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,LowVolatility/RiskWeighted,ClimateChange"
75,IE000XIBT2R7,Invesco Quantitative Strategies Global Equity Low Volatility Low Carbon UCITS ETF EUR PfHdg Acc,LVLE,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,LowVolatility/RiskWeighted,ClimateChange"
76,IE000SBHVL31,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,ABIT,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental"
77,IE000SBHVL31,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,ABIU (USD),Active ETF,"0,70%",Accumulating,USD,"Equity,World,Social/Environmental"
78,IE000MUAJIF4,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF Dist,ECMD,Active ETF,"0,15%",Distributing,EUR,
79,IE0008YN55P8,Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF EUR PfHdg Dist,IQSD,Active ETF,"0,30%",Distributing,EUR,
80,IE0003IT72N9,AXA IM ACT Biodiversity Equity UCITS ETF EUR(H) Acc,ABIE,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental"
81,IE000Z8BHG02,AXA IM ACT Climate Equity UCITS ETF USD Acc,ACLT,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental,ClimateChange"
82,IE000Z8BHG02,AXA IM ACT Climate Equity UCITS ETF USD Acc,ACLU (USD),Active ETF,"0,70%",Accumulating,USD,"Equity,World,Social/Environmental,ClimateChange"
83,IE000E66LX20,AXA IM ACT Climate Equity UCITS ETF EUR(H) Acc,ACLE,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental,ClimateChange"
84,IE0006QCIHM0,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF - EUR Hedged Acc,FSCE,Active ETF,"0,30%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
85,IE0006OIQXE9,Fidelity Sustainable Global High Yield Bond Paris-Aligned Multifactor UCITS ETF,FFGH,Active ETF,"0,35%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
86,LU0397221945,Xtrackers Portfolio UCITS ETF 1C,DBX0,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
87,IE0006KNOFD1,Fidelity Sustainable Global High Yield Bond Paris-Aligned Multifactor UCITS ETF EUR Hedged Inc,FFGE,Active ETF,"0,40%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
88,IE000GGQK173,abrdn Global Real Estate Active Thematics UCITS ETF,R8T,Active ETF,"0,40%",Accumulating,EUR,"RealEstate,World"
89,IE000GGQK173,abrdn Global Real Estate Active Thematics UCITS ETF,R8TA,Active ETF,"0,40%",Accumulating,USD,"RealEstate,World"
90,IE0005FKEK99,JPM Green Social Sustainable Bond UCITS ETF - USD (acc),JGNR,Active ETF,"0,32%",Accumulating,EUR,
91,IE000FBG59J1,JPM Green Social Sustainable Bond UCITS ETF - EUR Hedged (acc),JGNE,Active ETF,"0,32%",Accumulating,EUR,
92,GB00B15KXN58,WisdomTree Aluminium,OD7A,ETC,"0,49%",,EUR,
93,GB00B15KY765,WisdomTree Wheat,OD7S,ETC,"0,49%",,EUR,
94,GB00B15KY658,WisdomTree Sugar,OD7R,ETC,"0,49%",,EUR,
95,GB00B15KY542,WisdomTree Soybeans,OD7Q,ETC,"0,49%",,EUR,
96,GB00B15KY435,WisdomTree Soybean Oil,OD7P,ETC,"0,49%",,EUR,
97,GB00B15KY989,WisdomTree Broad Commodities,OD7V,ETC,"0,49%",,EUR,
98,GB00B15KXP72,WisdomTree Coffee,OD7B,ETC,"0,49%",,EUR,
99,GB00B15KY328,WisdomTree Silver,OD7N,ETC,"0,49%",,EUR,
100,GB00B15KYH63,WisdomTree Agriculture,OD7U,ETC,"0,49%",,EUR,
101,GB00B15KYJ87,WisdomTree Softs,OD74,ETC,"0,49%",,EUR,
102,GB00B15KYF40,WisdomTree Precious Metals,OD73,ETC,"0,49%",,EUR,
103,GB00B15KYC19,WisdomTree Petroleum,OD72,ETC,"0,49%",,EUR,
104,GB00B15KYG56,WisdomTree Industrial Metals,OD7Z,ETC,"0,49%",,EUR,
105,GB00B15KYL00,WisdomTree Grains,OD7Y,ETC,"0,49%",,EUR,
106,GB00B15KY872,WisdomTree Zinc,OD7T,ETC,"0,49%",,EUR,
107,GB00B15KXZ70,WisdomTree Lean Hogs,OD7J,ETC,"0,49%",,EUR,
108,GB00B15KXQ89,WisdomTree Copper,OD7C,ETC,"0,49%",,EUR,
109,GB00B15KY211,WisdomTree Nickel,OD7M,ETC,"0,49%",,EUR,
110,GB00B15KXX56,WisdomTree Gold,OD7H,ETC,"0,49%",,EUR,
111,GB00B15KXW40,WisdomTree Gasoline,OD7G,ETC,"0,49%",,EUR,
112,GB00B15KXV33,WisdomTree WTI Crude Oil,OD7F,ETC,"0,49%",,EUR,
113,GB00B15KXT11,WisdomTree Cotton,OD7E,ETC,"0,49%",,EUR,
114,GB00B15KXS04,WisdomTree Corn,OD7D,ETC,"0,49%",,EUR,
115,GB00B15KYB02,WisdomTree Energy,OD7W,ETC,"0,49%",,EUR,
116,GB00B15KY096,WisdomTree Live Cattle,OD7K,ETC,"0,49%",,EUR,
117,GB00B15KXY63,WisdomTree Heating Oil,OD7I,ETC,"0,49%",,EUR,
118,GB00B15KY104,WisdomTree Natural Gas,OD7L,ETC,"0,49%",,EUR,
119,GB00B00FHZ82,Gold Bullion Securities,GG9B,ETC,"0,40%",,EUR,PreciousMetals
120,JE00B1VS3W29,WisdomTree Physical Precious Metals,VZLE,ETC,"0,44%",,EUR,PreciousMetals
121,JE00B1VS3770,WisdomTree Physical Gold,VZLD,ETC,"0,39%",,EUR,PreciousMetals
122,JE00B1VS3333,WisdomTree Physical Silver,VZLC,ETC,"0,49%",,EUR,PreciousMetals
123,JE00B1VS2W53,WisdomTree Physical Platinum,VZLA,ETC,"0,49%",,EUR,PreciousMetals
124,JE00B1VS3002,WisdomTree Physical Palladium,VZLB,ETC,"0,49%",,EUR,PreciousMetals
125,JE00B24DMJ18,WisdomTree Industrial Metals Longer Dated,9GAK,ETC,"0,49%",,EUR,
126,JE00B24DMD55,WisdomTree Energy Longer Dated,9GAG,ETC,"0,49%",,EUR,
127,JE00B24DMK23,WisdomTree Agriculture Longer Dated,9GAL,ETC,"0,49%",,EUR,
128,JE00B24DMC49,WisdomTree Broad Commodities Longer Dated,9GAF,ETC,"0,49%",,EUR,
129,DE000A0S9GB0,Xetra-Gold,4GLD,ETC,"0,36%",,EUR,PreciousMetals
130,JE00B24DK975,WisdomTree WTI Crude Oil 1x Daily Short,9GA7,ETC,"0,98%",,EUR,
131,JE00B24DKK82,WisdomTree Silver 1x Daily Short,4RTF,ETC,"0,98%",,EUR,
132,JE00B24DKJ77,WisdomTree Nickel 1x Daily Short,4RTE,ETC,"0,98%",,EUR,
133,JE00B24DKH53,WisdomTree Natural Gas 1x Daily Short,4RTD,ETC,"0,98%",,EUR,
134,JE00B24DKC09,WisdomTree Gold 1x Daily Short,9GA9,ETC,"0,98%",,EUR,
135,JE00B2NFTD12,WisdomTree Coffee 2x Daily Leveraged,4RT2,ETC,"0,98%",,EUR,
136,JE00BDD9Q956,WisdomTree Natural Gas 2x Daily Leveraged,4RUC,ETC,"0,98%",,EUR,
137,JE00B2NFV803,WisdomTree Cocoa 2x Daily Leveraged,4RUP,ETC,"0,98%",,EUR,
138,JE00B2NFV134,WisdomTree Platinum 2x Daily Leveraged,4RUM,ETC,"0,98%",,EUR,
139,JE00B2NFTL95,WisdomTree Gold 2x Daily Leveraged,4RT8,ETC,"0,98%",,EUR,
140,JE00B2NFTG43,WisdomTree Corn 2x Daily Leveraged,4RT4,ETC,"0,98%",,EUR,
141,JE00B2NFTF36,WisdomTree Copper 2x Daily Leveraged,4RT3,ETC,"0,98%",,EUR,
142,JE00BDD9Q840,WisdomTree WTI Crude Oil 2x Daily Leveraged,4RT6,ETC,"0,98%",,EUR,
143,JE00BDD9QB77,WisdomTree Nickel 2x Daily Leveraged,4RUD,ETC,"0,98%",,EUR,
144,JE00B2NFTS64,WisdomTree Silver 2x Daily Leveraged,4RUE,ETC,"0,98%",,EUR,
145,JE00B2NFT427,WisdomTree Agriculture 2x Daily Leveraged,4RTR,ETC,"0,98%",,EUR,
146,JE00B2NFTW01,WisdomTree Sugar 2x Daily Leveraged,4RUH,ETC,"0,98%",,EUR,
147,JE00BDD9QC84,WisdomTree Wheat 2x Daily Leveraged,4RUJ,ETC,"0,98%",,EUR,
148,JE00B588CD74,WisdomTree Physical Swiss Gold,GZUR,ETC,"0,15%",,EUR,PreciousMetals
149,DE000A1EK0G3,Xtrackers Physical Gold EUR Hedged ETC,XAD1,ETC,"0,59%",,EUR,PreciousMetals
150,DE000A1EK0J7,Xtrackers Physical Silver EUR Hedged ETC,XAD2,ETC,"0,75%",,EUR,PreciousMetals
151,DE000A1EK0H1,Xtrackers Physical Platinum EUR Hedged ETC,XAD3,ETC,"0,75%",,EUR,PreciousMetals
152,DE000A1E0HR8,Xtrackers Physical Gold ETC (EUR),XAD5,ETC,"0,15%",,EUR,PreciousMetals
153,DE000A1E0HS6,Xtrackers Physical Silver ETC (EUR),XAD6,ETC,"0,40%",,EUR,PreciousMetals
154,JE00B4RKQV36,WisdomTree Gold - EUR Daily Hedged,00XN,ETC,"0,49%",,EUR,
155,JE00B7305Z55,WisdomTree Brent Crude Oil - EUR Daily Hedged,00XT,ETC,"0,49%",,EUR,
156,JE00B78CGV99,WisdomTree Brent Crude Oil,OOEA,ETC,"0,49%",,EUR,
157,JE00B78CP782,WisdomTree Brent Crude Oil Longer Dated,OOEB,ETC,"0,49%",,EUR,
158,JE00B78NNS84,WisdomTree Broad Commodities - EUR Daily Hedged,00XK,ETC,"0,49%",,EUR,
159,JE00B4PDKD43,WisdomTree Copper - EUR Daily Hedged,00XL,ETC,"0,49%",,EUR,
160,JE00B6XF0923,WisdomTree Natural Gas - EUR Daily Hedged,00XP,ETC,"0,49%",,EUR,
161,JE00B78NPQ01,WisdomTree Precious Metals - EUR Daily Hedged,00XQ,ETC,"0,49%",,EUR,
162,JE00B5SV2703,WisdomTree Silver - EUR Daily Hedged,00XR,ETC,"0,49%",,EUR,
163,JE00B78NNK09,WisdomTree Wheat - EUR Daily Hedged,00XS,ETC,"0,49%",,EUR,
164,JE00B78NPY84,WisdomTree Agriculture - EUR Daily Hedged,00XJ,ETC,"0,49%",,EUR,
165,JE00B44F1611,WisdomTree WTI Crude Oil - EUR Daily Hedged,00XM,ETC,"0,49%",,EUR,
166,IE00B579F325,Invesco Physical Gold ETC,8PSG,ETC,"0,12%",,EUR,PreciousMetals
167,JE00B6SV8B36,WisdomTree Broad Commodities Ex-Agriculture and Livestock,OOEC,ETC,"0,49%",,EUR,
168,JE00B8DFY052,WisdomTree Physical Gold - EUR Daily Hedged,GBSE,ETC,"0,15%",,EUR,PreciousMetals
169,JE00B78NNV14,WisdomTree Energy - EUR Daily Hedged,EHEN,ETC,"0,49%",,EUR,
170,IE00B6X4BP29,WisdomTree Gold 3x Daily Short,PCFN,ETC,"0,99%",,EUR,
171,IE00B7XD2195,WisdomTree Silver 3x Daily Leveraged,PCFH,ETC,"0,99%",,EUR,
172,IE00B8HGT870,WisdomTree Gold 3x Daily Leveraged,PCFP,ETC,"0,99%",,EUR,
173,IE00B76BRD76,WisdomTree Natural Gas 3x Daily Short,NGXS,ETC,"0,99%",,EUR,
174,IE00BLRPRG98,WisdomTree Natural Gas 3x Daily Leveraged,NGXL,ETC,"0,99%",,EUR,
175,IE00B8JG1787,WisdomTree Silver 3x Daily Short,PCFG,ETC,"0,99%",,EUR,
176,IE00BVFZGD11,WisdomTree Bloomberg Brent Crude Oil,0LJD,ETC,"0,25%",,EUR,
177,IE00BVFZGC04,WisdomTree Bloomberg WTI Crude Oil,0LJC,ETC,"0,25%",,EUR,
178,IE00BLRPRK35,WisdomTree Brent Crude Oil 3x Daily Short,3BFS,ETC,"0,99%",,EUR,
179,DE000PB6R1B1,BNPP RICI Enhanced Brent (TR) Index ETC,BNQC,ETC,"1,00%",,EUR,
180,DE000PB6R1D7,BNPP RICI Diesel (TR) Enhanced ETC,BNQF,ETC,"1,00%",,EUR,
181,DE000PB6R1G0,BNPP RICI Natural Gas (TR) Enhanced ETC,BNQE,ETC,"1,00%",,EUR,
182,DE000PB6R1W7,BNPP RICI WTI Oil (TR) Enhanced ETC,BNQD,ETC,"1,00%",,EUR,
183,DE000PB6R1H8,BNPP RICI Heizöl (TR) Enhanced ETC,BNQH,ETC,"1,00%",,EUR,
184,DE000PB6R101,BNPP RICI Benzin (TR) Enhanced ETC,BNQG,ETC,"1,00%",,EUR,
185,DE000PB8R1Z8,BNPP RICI Zink (TR) Enhanced ETC,BNQR,ETC,"1,00%",,EUR,
186,DE000PB8R1N4,BNPP RICI Nickel (TR) Enhanced ETC,BNQQ,ETC,"1,00%",,EUR,
187,DE000PB8R1L8,BNPP RICI Blei (TR) Enhanced ETC,BNQT,ETC,"1,00%",,EUR,
188,DE000PB8R1C7,BNPP RICI Kupfer (TR) Enhanced ETC,BNQP,ETC,"1,00%",,EUR,
189,DE000PB8R1T1,BNPP RICI Zinn (TR) Enhanced ETC,BNQS,ETC,"1,00%",,EUR,
190,DE000PB8R1A1,BNPP RICI Aluminium (TR) Enhanced ETC,BNQN,ETC,"1,00%",,EUR,
191,DE000PB8R1E3,BNPP RICI Energie (TR) Enhanced ETC,BNQU,ETC,"1,00%",,EUR,
192,DE000PB8R1M6,BNPP RICI Industriemetalle (TR) Enhanced ETC,BNQV,ETC,"1,00%",,EUR,
193,DE000PR0R1M0,BNPP RICI Metalle (TR) Enhanced ETC,BNQW,ETC,"1,00%",,EUR,
194,DE000PS7G0L8,BNPP Gold ETC,BNQJ,ETC,"0,99%",,EUR,
195,DE000PB8PAL7,BNPP Paladium ETC,BNQL,ETC,"0,99%",,EUR,
